num_train	status	text_summary	json_summary	log_file
20	OK	Figures\numtraj_sweep_20260406_080202\numtrain_0020.txt	Figures\numtraj_sweep_20260406_080202\numtrain_0020.json	Figures\numtraj_sweep_20260406_080202\logs\numtrain_0020.log
40	OK	Figures\numtraj_sweep_20260406_080202\numtrain_0040.txt	Figures\numtraj_sweep_20260406_080202\numtrain_0040.json	Figures\numtraj_sweep_20260406_080202\logs\numtrain_0040.log
80	OK	Figures\numtraj_sweep_20260406_080202\numtrain_0080.txt	Figures\numtraj_sweep_20260406_080202\numtrain_0080.json	Figures\numtraj_sweep_20260406_080202\logs\numtrain_0080.log
100	OK	Figures\numtraj_sweep_20260406_080202\numtrain_0100.txt	Figures\numtraj_sweep_20260406_080202\numtrain_0100.json	Figures\numtraj_sweep_20260406_080202\logs\numtrain_0100.log
150	OK	Figures\numtraj_sweep_20260406_080202\numtrain_0150.txt	Figures\numtraj_sweep_20260406_080202\numtrain_0150.json	Figures\numtraj_sweep_20260406_080202\logs\numtrain_0150.log
200	OK	Figures\numtraj_sweep_20260406_080202\numtrain_0200.txt	Figures\numtraj_sweep_20260406_080202\numtrain_0200.json	Figures\numtraj_sweep_20260406_080202\logs\numtrain_0200.log
