system,noise_type,intensity,seed,mode_id,real,imag,abs
Cart_data,gaussian,0.0,100,0,1.0002336502075195,0.0011646061902865767,1.0002343282026651
Cart_data,gaussian,0.025,100,0,0.9999573230743408,0.0,0.9999573230743408
Cart_data,gaussian,0.05,100,0,0.9999376535415649,0.0,0.9999376535415649
Cart_data,gaussian,0.075,100,0,1.0005983114242554,0.0,1.0005983114242554
Cart_data,gaussian,0.1,100,0,1.0004757642745972,0.0,1.0004757642745972
Cart_data,gaussian,0.15,100,0,0.9990723133087158,0.0,0.9990723133087158
Cart_data,gaussian,0.2,100,0,0.9973615407943726,0.0,0.9973615407943726
Cart_data,gaussian,0.0,100,1,1.0002336502075195,-0.0011646061902865767,1.0002343282026651
Cart_data,gaussian,0.025,100,1,0.9997744560241699,0.0,0.9997744560241699
Cart_data,gaussian,0.05,100,1,0.9952628016471863,0.0,0.9952628016471863
Cart_data,gaussian,0.075,100,1,0.9952327013015747,0.0,0.9952327013015747
Cart_data,gaussian,0.1,100,1,0.9903333187103271,0.0,0.9903333187103271
Cart_data,gaussian,0.15,100,1,0.9777819514274597,0.0,0.9777819514274597
Cart_data,gaussian,0.2,100,1,0.9584270119667053,0.0,0.9584270119667053
Cart_data,gaussian,0.0,100,2,0.9895933866500854,0.08783390372991562,0.9934837017012517
Cart_data,gaussian,0.025,100,2,0.991237998008728,0.08841854333877563,0.9951736569576699
Cart_data,gaussian,0.05,100,2,0.989176869392395,0.08163463324308395,0.9925397182408733
Cart_data,gaussian,0.075,100,2,0.9862620234489441,0.08562169969081879,0.9899716432077993
Cart_data,gaussian,0.1,100,2,0.9826555848121643,0.08715564757585526,0.9865131044577681
Cart_data,gaussian,0.15,100,2,0.9731242656707764,0.08479941636323929,0.9768120481714144
Cart_data,gaussian,0.2,100,2,0.9577286243438721,0.08061198145151138,0.9611151905162796
Cart_data,gaussian,0.0,100,3,0.9895933866500854,-0.08783390372991562,0.9934837017012517
Cart_data,gaussian,0.025,100,3,0.991237998008728,-0.08841854333877563,0.9951736569576699
Cart_data,gaussian,0.05,100,3,0.989176869392395,-0.08163463324308395,0.9925397182408733
Cart_data,gaussian,0.075,100,3,0.9862620234489441,-0.08562169969081879,0.9899716432077993
Cart_data,gaussian,0.1,100,3,0.9826555848121643,-0.08715564757585526,0.9865131044577681
Cart_data,gaussian,0.15,100,3,0.9731242656707764,-0.08479941636323929,0.9768120481714144
Cart_data,gaussian,0.2,100,3,0.9577286243438721,-0.08061198145151138,0.9611151905162796
Cart_data,gaussian,0.0,100,4,0.9880865812301636,0.011639673262834549,0.9881551366059775
Cart_data,gaussian,0.025,100,4,0.9805012941360474,0.013074163347482681,0.9805884567695564
Cart_data,gaussian,0.05,100,4,0.9732073545455933,0.014622689224779606,0.9733172031674959
Cart_data,gaussian,0.075,100,4,0.9557958245277405,0.03317151218652725,0.9563712706921952
Cart_data,gaussian,0.1,100,4,0.9555593729019165,0.047008365392684937,0.9567149531378696
Cart_data,gaussian,0.15,100,4,0.870856761932373,0.02486480586230755,0.8712116610640082
Cart_data,gaussian,0.2,100,4,0.8217504620552063,0.0,0.8217504620552063
Cart_data,gaussian,0.0,100,5,0.9880865812301636,-0.011639673262834549,0.9881551366059775
Cart_data,gaussian,0.025,100,5,0.9805012941360474,-0.013074163347482681,0.9805884567695564
Cart_data,gaussian,0.05,100,5,0.9732073545455933,-0.014622689224779606,0.9733172031674959
Cart_data,gaussian,0.075,100,5,0.976181149482727,0.0,0.976181149482727
Cart_data,gaussian,0.1,100,5,0.9564574360847473,0.0,0.9564574360847473
Cart_data,gaussian,0.15,100,5,0.9292615652084351,0.01766928657889366,0.9294295348555681
Cart_data,gaussian,0.2,100,5,0.886982798576355,0.026858270168304443,0.8873893461422536
Cart_data,gaussian,0.0,100,6,0.9729396104812622,0.1696847826242447,0.9876256431956733
Cart_data,gaussian,0.025,100,6,0.9718183875083923,0.16951216757297516,0.9864914359763597
Cart_data,gaussian,0.05,100,6,0.9707604050636292,0.16637779772281647,0.9849148874975927
Cart_data,gaussian,0.075,100,6,0.9673231840133667,0.1627693623304367,0.9809220191448527
Cart_data,gaussian,0.1,100,6,0.9552159309387207,0.15589357912540436,0.9678534407293573
Cart_data,gaussian,0.15,100,6,0.9280672073364258,0.15578852593898773,0.9410519678250904
Cart_data,gaussian,0.2,100,6,0.9036866426467896,0.12973089516162872,0.9129510683808107
Cart_data,gaussian,0.0,100,7,0.9729396104812622,-0.1696847826242447,0.9876256431956733
Cart_data,gaussian,0.025,100,7,0.9718183875083923,-0.16951216757297516,0.9864914359763597
Cart_data,gaussian,0.05,100,7,0.9707604050636292,-0.16637779772281647,0.9849148874975927
Cart_data,gaussian,0.075,100,7,0.9673231840133667,-0.1627693623304367,0.9809220191448527
Cart_data,gaussian,0.1,100,7,0.9552159309387207,-0.15589357912540436,0.9678534407293573
Cart_data,gaussian,0.15,100,7,0.9280672073364258,-0.15578852593898773,0.9410519678250904
Cart_data,gaussian,0.2,100,7,0.9036866426467896,-0.12973089516162872,0.9129510683808107
Cart_data,gaussian,0.0,100,8,0.9779287576675415,0.06345786154270172,0.9799854872725177
Cart_data,gaussian,0.025,100,8,0.97935950756073,0.07072391360998154,0.9819098314030202
Cart_data,gaussian,0.05,100,8,0.9701493978500366,0.08428576588630676,0.9738038531859637
Cart_data,gaussian,0.075,100,8,0.9297089576721191,0.07200856506824493,0.9324934205767705
Cart_data,gaussian,0.1,100,8,0.9270326495170593,0.10377661883831024,0.9328231986224029
Cart_data,gaussian,0.15,100,8,0.8745421171188354,0.07568562030792236,0.8778110432980949
Cart_data,gaussian,0.2,100,8,0.8666226863861084,0.04215146228671074,0.8676471784844247
Cart_data,gaussian,0.0,100,9,0.9779287576675415,-0.06345786154270172,0.9799854872725177
Cart_data,gaussian,0.025,100,9,0.97935950756073,-0.07072391360998154,0.9819098314030202
Cart_data,gaussian,0.05,100,9,0.9701493978500366,-0.08428576588630676,0.9738038531859637
Cart_data,gaussian,0.075,100,9,0.9557958245277405,-0.03317151218652725,0.9563712706921952
Cart_data,gaussian,0.1,100,9,0.9555593729019165,-0.047008365392684937,0.9567149531378696
Cart_data,gaussian,0.15,100,9,0.9292615652084351,-0.01766928657889366,0.9294295348555681
Cart_data,gaussian,0.2,100,9,0.886982798576355,-0.026858270168304443,0.8873893461422536
Cart_data,gaussian,0.0,100,10,0.9678536653518677,0.09993565827608109,0.9729994107552783
Cart_data,gaussian,0.025,100,10,0.9513100981712341,0.15094643831253052,0.9632111555218833
Cart_data,gaussian,0.05,100,10,0.9559676647186279,0.138095423579216,0.9658905331356706
Cart_data,gaussian,0.075,100,10,1.292551843334877e-09,0.0,1.292551843334877e-09
Cart_data,gaussian,0.1,100,10,0.822708785533905,0.0,0.822708785533905
Cart_data,gaussian,0.15,100,10,0.6990628838539124,0.01769608072936535,0.6992868273143208
Cart_data,gaussian,0.2,100,10,0.6467790603637695,0.0,0.6467790603637695
Cart_data,gaussian,0.0,100,11,0.9678536653518677,-0.09993565827608109,0.9729994107552783
Cart_data,gaussian,0.025,100,11,0.9513100981712341,-0.15094643831253052,0.9632111555218833
Cart_data,gaussian,0.05,100,11,0.9559676647186279,-0.138095423579216,0.9658905331356706
Cart_data,gaussian,0.075,100,11,0.9325659275054932,-0.1228756383061409,0.9406261912329054
Cart_data,gaussian,0.1,100,11,0.9044382572174072,-0.14245088398456573,0.915587688572998
Cart_data,gaussian,0.15,100,11,0.8621251583099365,-0.13150623440742493,0.8720972871640834
Cart_data,gaussian,0.2,100,11,0.8353520631790161,-0.11985956877470016,0.8439072139070124
Cart_data,gaussian,0.0,100,12,0.957760214805603,0.08827776461839676,0.9618199378212617
Cart_data,gaussian,0.025,100,12,0.9555284976959229,0.08569091558456421,0.9593631444467461
Cart_data,gaussian,0.05,100,12,0.9561550617218018,0.12470927089452744,0.964253547726565
Cart_data,gaussian,0.075,100,12,0.9325659275054932,0.1228756383061409,0.9406261912329054
Cart_data,gaussian,0.1,100,12,0.9044382572174072,0.14245088398456573,0.915587688572998
Cart_data,gaussian,0.15,100,12,0.8621251583099365,0.13150623440742493,0.8720972871640834
Cart_data,gaussian,0.2,100,12,0.8353520631790161,0.11985956877470016,0.8439072139070124
Cart_data,gaussian,0.0,100,13,0.957760214805603,-0.08827776461839676,0.9618199378212617
Cart_data,gaussian,0.025,100,13,0.9555284976959229,-0.08569091558456421,0.9593631444467461
Cart_data,gaussian,0.05,100,13,0.9561550617218018,-0.12470927089452744,0.964253547726565
Cart_data,gaussian,0.075,100,13,0.9297089576721191,-0.07200856506824493,0.9324934205767705
Cart_data,gaussian,0.1,100,13,0.9270326495170593,-0.10377661883831024,0.9328231986224029
Cart_data,gaussian,0.15,100,13,0.8745421171188354,-0.07568562030792236,0.8778110432980949
