num_train	status	text_summary	json_summary	log_file
20	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0020.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0020.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0020.log
60	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0060.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0060.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0060.log
100	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0100.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0100.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0100.log
150	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0150.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0150.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0150.log
200	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0200.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0200.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0200.log
250	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0250.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0250.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0250.log
300	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0300.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0300.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0300.log
400	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0400.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0400.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0400.log
500	OK	Figures\numtraj_sweep_20260618_044605\numtrain_0500.txt	Figures\numtraj_sweep_20260618_044605\numtrain_0500.json	Figures\numtraj_sweep_20260618_044605\logs\numtrain_0500.log
