system,noise_type,intensity,seed,mode_id,real,imag,abs
Cart_data,gaussian,0.0,100,0,1.0002336502075195,0.0011646061902865767,1.0002343282026651
Cart_data,gaussian,0.02,100,0,1.0003951787948608,0.0,1.0003951787948608
Cart_data,gaussian,0.05,100,0,0.9999376535415649,0.0,0.9999376535415649
Cart_data,gaussian,0.075,100,0,1.0005983114242554,0.0,1.0005983114242554
Cart_data,gaussian,0.1,100,0,1.0004757642745972,0.0,1.0004757642745972
Cart_data,gaussian,0.15,100,0,0.9990723133087158,0.0,0.9990723133087158
Cart_data,gaussian,0.2,100,0,0.9973615407943726,0.0,0.9973615407943726
Cart_data,gaussian,0.0,100,1,1.0002336502075195,-0.0011646061902865767,1.0002343282026651
Cart_data,gaussian,0.02,100,1,1.0008206367492676,0.0,1.0008206367492676
Cart_data,gaussian,0.05,100,1,0.9617165923118591,0.0,0.9617165923118591
Cart_data,gaussian,0.075,100,1,0.9332888722419739,0.0,0.9332888722419739
Cart_data,gaussian,0.1,100,1,0.9255130887031555,0.0,0.9255130887031555
Cart_data,gaussian,0.15,100,1,0.9102817177772522,0.0,0.9102817177772522
Cart_data,gaussian,0.2,100,1,0.8679277896881104,0.0,0.8679277896881104
Cart_data,gaussian,0.0,100,2,0.9895933866500854,0.08783390372991562,0.9934837017012517
Cart_data,gaussian,0.02,100,2,0.9897316098213196,0.08814151585102081,0.9936486231540889
Cart_data,gaussian,0.05,100,2,0.989176869392395,0.08163463324308395,0.9925397182408733
Cart_data,gaussian,0.075,100,2,0.9862620234489441,0.08562169969081879,0.9899716432077993
Cart_data,gaussian,0.1,100,2,0.9826555848121643,0.08715564757585526,0.9865131044577681
Cart_data,gaussian,0.15,100,2,0.9731242656707764,0.08479941636323929,0.9768120481714144
Cart_data,gaussian,0.2,100,2,0.9577286243438721,0.08061198145151138,0.9611151905162796
Cart_data,gaussian,0.0,100,3,0.9895933866500854,-0.08783390372991562,0.9934837017012517
Cart_data,gaussian,0.02,100,3,0.9897316098213196,-0.08814151585102081,0.9936486231540889
Cart_data,gaussian,0.05,100,3,0.989176869392395,-0.08163463324308395,0.9925397182408733
Cart_data,gaussian,0.075,100,3,0.9862620234489441,-0.08562169969081879,0.9899716432077993
Cart_data,gaussian,0.1,100,3,0.9826555848121643,-0.08715564757585526,0.9865131044577681
Cart_data,gaussian,0.15,100,3,0.9731242656707764,-0.08479941636323929,0.9768120481714144
Cart_data,gaussian,0.2,100,3,0.9577286243438721,-0.08061198145151138,0.9611151905162796
Cart_data,gaussian,0.0,100,4,0.9880865812301636,0.011639673262834549,0.9881551366059775
Cart_data,gaussian,0.02,100,4,0.9983716011047363,0.0,0.9983716011047363
Cart_data,gaussian,0.05,100,4,0.9952628016471863,0.0,0.9952628016471863
Cart_data,gaussian,0.075,100,4,0.9952327013015747,0.0,0.9952327013015747
Cart_data,gaussian,0.1,100,4,0.9903333187103271,0.0,0.9903333187103271
Cart_data,gaussian,0.15,100,4,0.9777819514274597,0.0,0.9777819514274597
Cart_data,gaussian,0.2,100,4,0.9584270119667053,0.0,0.9584270119667053
Cart_data,gaussian,0.0,100,5,0.9880865812301636,-0.011639673262834549,0.9881551366059775
Cart_data,gaussian,0.02,100,5,0.9689810276031494,-0.011435326188802719,0.9690485016447318
Cart_data,gaussian,0.05,100,5,0.9590544104576111,0.0,0.9590544104576111
Cart_data,gaussian,0.075,100,5,0.9423668384552002,0.0,0.9423668384552002
Cart_data,gaussian,0.1,100,5,0.9252078533172607,-0.05683378875255585,0.9269518063976703
