trial,cost,gradZ_frob,bound,ratio_grad_over_bound,gamma1,gamma2,epsilon,G_frob,Gplus_frob,X_frob,nTrain,N,ns_query,device,phi_sigma_max,phi_sigma_min,phi_cond,phi_plus_sigma_max,phi_plus_sigma_min,phi_plus_cond,G_sigma_max,G_sigma_min,G_cond,Gplus_sigma_max,Gplus_sigma_min,Gplus_cond
0,566.6532592773438,29.419801712036133,5910539342.736256,4.9775155880133905e-09,1534.616455078125,1536.820068359375,20793.3203125,744.9470825195312,748.4804077148438,200.0,200,100,20000,cuda:0,1130.3768310546875,144.19894409179688,7.8390092849731445,1130.3824462890625,141.33404541015625,7.99794864654541,299.72021484375,3.684231758117676,81.35215759277344,304.1699523925781,1.9019207954406738,159.92776489257812
1,497.15252685546875,99.11503601074219,56939581077.08373,1.7407053957169463e-09,1224.5986328125,1223.5396728515625,3393.382080078125,512.9805297851562,513.55859375,200.0,200,100,20000,cuda:0,1017.0775146484375,58.25276565551758,17.45973014831543,1016.9918823242188,43.06980895996094,23.612640380859375,174.78823852539062,3.747330665588379,46.64339828491211,174.69296264648438,2.0382041931152344,85.7092514038086
2,359.434814453125,18.463455200195312,345300175480.5238,5.347073795865105e-11,1334.94140625,1335.5533447265625,2179.622314453125,546.9374389648438,548.7794799804688,200.0,200,100,20000,cuda:0,1136.85205078125,46.686485290527344,24.35077476501465,1137.675048828125,23.040128707885742,49.37798309326172,191.43161010742188,1.000188946723938,191.39544677734375,191.50022888183594,0.018413381651043892,10400.0576171875
3,401.62396240234375,16.158472061157227,4474506210994.58,3.6112302227792792e-12,1344.34375,1347.63232421875,879.3643798828125,523.3739624023438,524.807861328125,200.0,200,100,20000,cuda:0,1090.00390625,29.654115676879883,36.75725555419922,1093.0728759765625,21.249563217163086,51.439781188964844,184.9460906982422,2.33255934715271,79.28890991210938,187.03036499023438,1.3031525611877441,143.52146911621094
4,622.6239624023438,102.33753204345703,39390403869.94546,2.598032058298841e-09,1663.8365478515625,1662.4639892578125,9590.626953125,651.8178100585938,653.5062255859375,200.0,200,100,20000,cuda:0,1224.632568359375,97.93173217773438,12.504961967468262,1223.4700927734375,97.35633850097656,12.566927909851074,211.01992797851562,3.9618637561798096,53.262794494628906,211.72518920898438,2.3978941440582275,88.29630279541016
5,395.4317321777344,18.191152572631836,208801167062.5854,8.712189126404297e-11,1332.5714111328125,1332.8043212890625,2480.856689453125,475.7232360839844,476.33892822265625,200.0,200,100,20000,cuda:0,1137.3001708984375,49.80824661254883,22.833572387695312,1138.56298828125,45.1657600402832,25.208541870117188,177.9285430908203,2.281740188598633,77.97931671142578,179.514404296875,1.483611822128296,120.99822998046875
6,459.16253662109375,21.885263442993164,758803815977.4036,2.884179412672443e-11,1434.453369140625,1434.9296875,2008.9151611328125,595.47314453125,597.445068359375,200.0,200,100,20000,cuda:0,1099.7354736328125,44.82111358642578,24.536104202270508,1098.7633056640625,18.141687393188477,60.5656623840332,199.0284423828125,1.0010344982147217,198.82275390625,201.08213806152344,0.04466555640101433,4501.95068359375
7,488.74615478515625,49.16783905029297,13016830874.424994,3.777251123919585e-09,1540.83642578125,1543.29345703125,12008.2685546875,554.744873046875,555.9637451171875,200.0,200,100,20000,cuda:0,1294.64306640625,109.58219909667969,11.814355850219727,1297.865234375,106.15922546386719,12.22564697265625,176.1664276123047,3.2926650047302246,53.502689361572266,177.02914428710938,2.064561367034912,85.74661254882812
8,490.16802978515625,34.50944519042969,5701883921.278472,6.0522882729419025e-09,1420.6192626953125,1421.2552490234375,14994.2646484375,600.2716674804688,601.896240234375,200.0,200,100,20000,cuda:0,1131.908935546875,122.45105743408203,9.243765830993652,1132.6824951171875,118.9211654663086,9.524650573730469,202.31788635253906,3.6903984546661377,54.822776794433594,204.76754760742188,1.9095205068588257,107.23506164550781
9,536.3021240234375,21.924480438232422,12317457582.427673,1.7799517710140375e-09,1422.4241943359375,1423.8087158203125,11057.43359375,700.6292114257812,703.9730834960938,200.0,200,100,20000,cuda:0,1141.7200927734375,105.15382385253906,10.85761833190918,1141.7823486328125,104.34383392333984,10.942499160766602,263.7362976074219,3.356616973876953,78.57205963134766,267.2367858886719,1.1454647779464722,233.29986572265625
10,356.00408935546875,16.48845863342285,517859776939.7981,3.183962023630898e-11,1366.273193359375,1365.031494140625,1860.3707275390625,456.34332275390625,456.48284912109375,200.0,200,100,20000,cuda:0,1089.066650390625,43.13192367553711,25.249666213989258,1090.2099609375,16.380691528320312,66.55457305908203,210.90907287597656,2.3128507137298584,91.19009399414062,210.89752197265625,1.530600666999817,137.7874298095703
11,534.6004638671875,24.78581428527832,102178059197.61832,2.4257472181323306e-10,1419.743408203125,1422.3564453125,4190.1484375,608.2626342773438,610.0550537109375,200.0,200,100,20000,cuda:0,1140.5660400390625,64.73133087158203,17.619998931884766,1144.661865234375,61.39076614379883,18.645505905151367,203.992919921875,3.3852477073669434,60.259376525878906,206.2144012451172,1.2115758657455444,170.20346069335938
12,449.81707763671875,30.74590301513672,212185800148.31775,1.4490085101663426e-10,1328.247314453125,1327.6251220703125,2474.38134765625,491.1237487792969,491.4498291015625,200.0,200,100,20000,cuda:0,1118.159423828125,49.74325942993164,22.47861099243164,1117.7769775390625,28.680763244628906,38.97305679321289,211.0714874267578,2.3773512840270996,88.78430938720703,211.0623779296875,1.6209856271743774,130.20619201660156
13,433.9266052246094,47.449676513671875,91479060906.56577,5.186943989525176e-10,1382.1785888671875,1381.9114990234375,3838.971923828125,519.219970703125,520.25341796875,200.0,200,100,20000,cuda:0,1141.1282958984375,61.95955276489258,18.41731071472168,1141.18212890625,47.95767593383789,23.795610427856445,210.5095672607422,2.649369716644287,79.45647430419922,211.58111572265625,2.0009241104125977,105.74169921875
14,600.6703491210938,71.99990844726562,6734887246838.946,1.0690588544159986e-11,1805.974609375,1804.73681640625,1697.99072265625,698.779541015625,701.4848022460938,200.0,200,100,20000,cuda:0,1326.5687255859375,41.20662307739258,32.19309616088867,1324.984375,4.77708625793457,277.3624572753906,262.6425476074219,1.1691402196884155,224.64588928222656,266.4855651855469,0.604078471660614,441.1439514160156
