hp_trial,z_trial,seed_hp,seed_Z,cost,gradZ_frob,bound,ratio_grad_over_bound,gamma1,gamma2,epsilon,G_frob,Gplus_frob,X_frob,phi_sigma_max,phi_sigma_min,phi_cond,phi_plus_sigma_max,phi_plus_sigma_min,phi_plus_cond,G_sigma_max,G_sigma_min,G_cond,Gplus_sigma_max,Gplus_sigma_min,Gplus_cond,Mz_sigma_max,Mz_sigma_min,Mz_cond,nTrain,N,ns_query,device
0,0,1,77,496.96173095703125,668.1871948242188,4523113707.763157,1.4772726002386118e-07,491.0292053222656,494.949462890625,1339.010498046875,1201.3114013671875,1211.5662841796875,201.04859924316406,439.7330017089844,36.592552185058594,12.017007827758789,444.1612548828125,36.54351806640625,12.15431022644043,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,193365.109375,1339.012939453125,144.40869140625,200,100,20000,cuda:0
0,1,1,110,459.2055969238281,636.6654052734375,2631263081.1778646,2.4196189648525726e-07,479.6474609375,483.1880187988281,1597.1602783203125,1201.3114013671875,1211.5662841796875,201.04859924316406,406.100341796875,39.964534759521484,10.161518096923828,409.9213562011719,40.087520599365234,10.22566032409668,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,164917.328125,1597.1595458984375,103.25663757324219,200,100,20000,cuda:0
0,2,1,143,376.86920166015625,402.25836181640625,549881418.4705077,7.315365609830675e-07,334.2158203125,335.54010009765625,1318.19482421875,1201.3114013671875,1211.5662841796875,201.04859924316406,221.54115295410156,36.30698013305664,6.101888656616211,222.39678955078125,35.84434509277344,6.20451545715332,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,49080.4375,1318.1937255859375,37.23310089111328,200,100,20000,cuda:0
0,3,1,176,328.5974426269531,476.8769226074219,391880031.039972,1.2168951843294616e-06,325.93389892578125,327.37286376953125,1469.3914794921875,1201.3114013671875,1211.5662841796875,201.04859924316406,242.46131896972656,38.332618713378906,6.325195789337158,244.08474731445312,38.20259094238281,6.389219760894775,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,58787.3828125,1469.3924560546875,40.00795364379883,200,100,20000,cuda:0
0,4,1,209,400.6507568359375,560.7120361328125,727771540.8268466,7.704506217648577e-07,351.3285827636719,353.04595947265625,1307.0960693359375,1201.3114013671875,1211.5662841796875,201.04859924316406,280.0494689941406,36.153751373291016,7.746069431304932,282.27325439453125,35.86893081665039,7.869575500488281,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,78427.7890625,1307.0947265625,60.001609802246094,200,100,20000,cuda:0
0,5,1,242,393.47039794921875,574.2786254882812,1929989538.2495458,2.9755530488996236e-07,376.7322998046875,378.9658203125,999.45654296875,1201.3114013671875,1211.5662841796875,201.04859924316406,305.08477783203125,31.61420440673828,9.650243759155273,307.8037414550781,31.50617218017578,9.769633293151855,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,93076.53125,999.4578247070312,93.12702178955078,200,100,20000,cuda:0
0,6,1,275,473.85906982421875,605.7291870117188,2481690957.82721,2.4407921747921897e-07,435.6985168457031,438.60479736328125,1285.037841796875,1201.3114013671875,1211.5662841796875,201.04859924316406,369.0006408691406,35.84745788574219,10.293634414672852,372.4261474609375,35.642120361328125,10.44904613494873,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,136161.25,1285.038818359375,105.9588623046875,200,100,20000,cuda:0
0,7,1,308,494.75848388671875,640.6028442382812,5913757444.36028,1.0832416619474294e-07,469.1499328613281,472.7372741699219,1069.97265625,1201.3114013671875,1211.5662841796875,201.04859924316406,407.0729675292969,32.71065902709961,12.444658279418945,410.9672546386719,32.42668914794922,12.673734664916992,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,165708.734375,1069.986572265625,154.8699188232422,200,100,20000,cuda:0
0,8,1,341,503.9451904296875,654.9205322265625,1746100957.8590147,3.750759824504046e-07,453.6039123535156,456.7667236328125,1668.270751953125,1201.3114013671875,1211.5662841796875,201.04859924316406,396.9462890625,40.84452438354492,9.718470573425293,400.5892028808594,40.79712677001953,9.81905460357666,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,157566.515625,1668.2711181640625,94.44898986816406,200,100,20000,cuda:0
0,9,1,374,490.20477294921875,645.71923828125,8701079288.721472,7.421139571940751e-08,492.7512512207031,496.6810607910156,1031.6875,1201.3114013671875,1211.5662841796875,201.04859924316406,443.001953125,32.11984634399414,13.792156219482422,447.50384521484375,31.76927375793457,14.086058616638184,973.2443237304688,3.287806987762451,296.0162658691406,983.2900390625,1.7058058977127075,576.437255859375,196250.84375,1031.6868896484375,190.2232666015625,200,100,20000,cuda:0
