hp_trial,z_trial,seed_hp,seed_Z,cost,gradZ_frob,bound,ratio_grad_over_bound,gamma1,gamma2,epsilon,G_frob,Gplus_frob,X_frob,phi_sigma_max,phi_sigma_min,phi_cond,phi_plus_sigma_max,phi_plus_sigma_min,phi_plus_cond,G_sigma_max,G_sigma_min,G_cond,Gplus_sigma_max,Gplus_sigma_min,Gplus_cond,MMt_sigma_max,MMt_sigma_min,MMt_cond,nTrain,N,ns_query,device
0,0,1,77,125.13870239257812,6.019008636474609,48765592747.29136,1.2342736543090475e-10,50.58650207519531,44.58161544799805,4.654553413391113,79.04576110839844,66.56112670898438,113.1370849609375,41.577537536621094,2.1574442386627197,19.27166175842285,38.77729034423828,0.046906281262636185,826.6972045898438,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1728.7010498046875,4.6545515060424805,371.400146484375,100,16,1600,cuda:0
0,1,1,110,125.68153381347656,5.589886665344238,41722330782.76539,1.3397829316988452e-10,49.82619094848633,43.69789123535156,4.773697376251221,79.04576110839844,66.56112670898438,113.1370849609375,40.79648208618164,2.1848838329315186,18.672151565551758,37.799537658691406,0.027678586542606354,1365.659912109375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1664.3526611328125,4.773714542388916,348.6493835449219,100,16,1600,cuda:0
0,2,1,143,124.53341674804688,6.193532943725586,31852351661.35832,1.9444507613041553e-10,50.0704345703125,44.24674987792969,5.2744245529174805,79.04576110839844,66.56112670898438,113.1370849609375,41.37733459472656,2.296612024307251,18.016685485839844,38.650691986083984,0.017589345574378967,2197.392333984375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1712.0821533203125,5.2744269371032715,324.6005859375,100,16,1600,cuda:0
0,3,1,176,125.0635986328125,6.07592248916626,41334263058.34811,1.469948183324181e-10,50.96977996826172,45.230674743652344,4.988592624664307,79.04576110839844,66.56112670898438,113.1370849609375,42.068748474121094,2.2335205078125,18.835174560546875,39.47772216796875,0.04297671467065811,918.583984375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1769.7880859375,4.988593578338623,354.7669372558594,100,16,1600,cuda:0
0,4,1,209,122.64833068847656,6.100384712219238,43668815737.09078,1.3969659147495e-10,49.186126708984375,43.05282211303711,4.595244884490967,79.04576110839844,66.56112670898438,113.1370849609375,40.257022857666016,2.1436538696289062,18.77962875366211,37.16015625,0.042353346943855286,877.3841552734375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1620.6298828125,4.595251560211182,352.6748962402344,100,16,1600,cuda:0
0,5,1,242,125.32059478759766,5.708565711975098,49219505658.13346,1.159817766481725e-10,50.86616897583008,44.75736999511719,4.68459939956665,79.04576110839844,66.56112670898438,113.1370849609375,41.894935607910156,2.1643922328948975,19.356443405151367,38.9773063659668,0.013371072709560394,2915.047119140625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1755.188720703125,4.684604644775391,374.67169189453125,100,16,1600,cuda:0
0,6,1,275,123.81651306152344,6.345452785491943,38350585746.19463,1.6545908392342027e-10,50.75497055053711,44.62991714477539,5.073375701904297,79.04576110839844,66.56112670898438,113.1370849609375,41.87204360961914,2.2524161338806152,18.589834213256836,38.94863510131836,0.009265673346817493,4203.54052734375,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1753.269287109375,5.073380470275879,345.5820617675781,100,16,1600,cuda:0
1,0,3,112,124.22346496582031,6.411769390106201,47300557694.73752,1.355537799677899e-10,50.73406982421875,44.78281784057617,4.727177619934082,79.04576110839844,66.56112670898438,113.1370849609375,42.267574310302734,2.174210548400879,19.4404239654541,39.510005950927734,0.07196379452943802,549.0261840820312,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1786.55126953125,4.727184295654297,377.9313659667969,100,16,1600,cuda:0
1,1,3,160,124.3066635131836,5.2309346199035645,34995398844.79064,1.4947492506381972e-10,50.54985046386719,44.42699432373047,5.194215297698975,79.04576110839844,66.56112670898438,113.1370849609375,41.60204315185547,2.279085636138916,18.253829956054688,38.75936508178711,0.09142912924289703,423.927978515625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1730.7164306640625,5.194209575653076,333.20111083984375,100,16,1600,cuda:0
1,2,3,208,125.7854232788086,5.534914016723633,40283644823.548164,1.3739854079659023e-10,49.61408615112305,43.515480041503906,4.794238090515137,79.04576110839844,66.56112670898438,113.1370849609375,40.693851470947266,2.1895768642425537,18.58525848388672,37.83171844482422,0.01474578958004713,2565.5947265625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1655.9844970703125,4.794241905212402,345.4111328125,100,16,1600,cuda:0
1,3,3,256,124.03780364990234,6.115756034851074,41457411950.07915,1.4751900196315554e-10,48.92941665649414,42.837913513183594,4.633449077606201,79.04576110839844,66.56112670898438,113.1370849609375,39.87039566040039,2.1525440216064453,18.52245330810547,37.06586456298828,0.055399876087903976,669.0604248046875,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1589.64501953125,4.633453369140625,343.0799560546875,100,16,1600,cuda:0
1,4,3,304,124.7478256225586,5.737942695617676,32824275552.138954,1.7480790052786923e-10,49.07926559448242,43.03032684326172,5.0382513999938965,79.04576110839844,66.56112670898438,113.1370849609375,40.18498611450195,2.244605779647827,17.90291404724121,37.3375358581543,0.025224855169653893,1480.1883544921875,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1614.8380126953125,5.038261413574219,320.5149230957031,100,16,1600,cuda:0
1,5,3,352,122.76908874511719,6.31809663772583,54593637526.28372,1.1572954146321588e-10,50.3298454284668,44.32196044921875,4.441634654998779,79.04576110839844,66.56112670898438,113.1370849609375,41.299312591552734,2.10752010345459,19.59616470336914,38.48915100097656,0.10330947488546371,372.5616760253906,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1705.6380615234375,4.441648483276367,384.0101318359375,100,16,1600,cuda:0
1,6,3,400,123.07159423828125,5.998995304107666,53268009231.075386,1.1261910085815604e-10,50.90865707397461,45.132564544677734,4.572009086608887,79.04576110839844,66.56112670898438,113.1370849609375,42.0898323059082,2.138226270675659,19.68446159362793,39.30024337768555,0.05281343683600426,744.1334228515625,18.172183990478516,5.328230381011963,3.4105477333068848,17.8619384765625,2.1027233600616455,8.494668960571289,1771.5711669921875,4.572027206420898,387.4804382324219,100,16,1600,cuda:0
