hp_trial,z_trial,seed_hp,seed_Z,cost,gradZ_frob,bound,ratio_grad_over_bound,gamma1,gamma2,epsilon,G_frob,Gplus_frob,X_frob,phi_sigma_max,phi_sigma_min,phi_cond,phi_plus_sigma_max,phi_plus_sigma_min,phi_plus_cond,G_sigma_max,G_sigma_min,G_cond,Gplus_sigma_max,Gplus_sigma_min,Gplus_cond,MMt_sigma_max,MMt_sigma_min,MMt_cond,nTrain,N,ns_query,device
0,0,1,77,277.2867736816406,20.154687881469727,40382897334104.85,4.990896942020143e-13,244.2750244140625,243.30221557617188,12.40024471282959,630.9008178710938,630.8131713867188,282.84271240234375,176.83192443847656,3.521390676498413,50.21650314331055,176.21377563476562,1.7752244472503662,99.2628173828125,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,31269.490234375,12.400181770324707,2521.696044921875,100,200,20000,cuda:0
0,1,1,110,278.79144287109375,16.19327735900879,38437343690538.38,4.2129022987077215e-13,262.1201171875,261.30126953125,14.482125282287598,630.9008178710938,630.8131713867188,282.84271240234375,164.69717407226562,3.8055436611175537,43.27822494506836,165.25669860839844,1.5969561338424683,103.4822998046875,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,27125.29296875,14.48218059539795,1873.0115966796875,100,200,20000,cuda:0
0,2,1,143,272.01251220703125,26.07611656188965,25554281282151.71,1.0204206596137927e-12,228.54736328125,227.42544555664062,12.695866584777832,630.9008178710938,630.8131713867188,282.84271240234375,152.81031799316406,3.563131093978882,42.88652801513672,151.9718475341797,2.2071714401245117,68.85366821289062,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,23350.91015625,12.695892333984375,1839.249267578125,100,200,20000,cuda:0
0,3,1,176,273.3139953613281,22.58250617980957,31395266223793.32,7.192965340327363e-13,241.84242248535156,240.83103942871094,13.227459907531738,630.9008178710938,630.8131713867188,282.84271240234375,175.57225036621094,3.6369664669036865,48.27436447143555,174.9969024658203,1.608808994293213,108.7741928100586,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,30825.681640625,13.22748851776123,2330.42578125,100,200,20000,cuda:0
0,4,1,209,262.7071533203125,25.710552215576172,59116565633097.34,4.349128191097372e-13,258.5747375488281,257.9171142578125,12.211164474487305,630.9008178710938,630.8131713867188,282.84271240234375,168.23220825195312,3.494450569152832,48.142677307128906,168.40699768066406,1.6612528562545776,101.37348937988281,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,28302.140625,12.21115493774414,2317.728515625,100,200,20000,cuda:0
0,5,1,242,275.25872802734375,18.144798278808594,13998363150949.129,1.2962085697554091e-12,225.93563842773438,224.73622131347656,15.18496322631836,630.9008178710938,630.8131713867188,282.84271240234375,156.0580596923828,3.8967905044555664,40.04784393310547,155.150390625,1.9297254085540771,80.4002456665039,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,24354.271484375,15.184943199157715,1603.8433837890625,100,200,20000,cuda:0
0,6,1,275,270.4256896972656,23.5328369140625,22161130961000.082,1.0618969291538593e-12,234.11415100097656,233.08547973632812,13.95154857635498,630.9008178710938,630.8131713867188,282.84271240234375,171.7583770751953,3.735192060470581,45.98381423950195,171.1516571044922,2.426731824874878,70.52763366699219,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,29501.03125,13.951626777648926,2114.522705078125,100,200,20000,cuda:0
1,0,3,112,273.66925048828125,19.905242919921875,56430163817579.76,3.527411861547843e-13,253.8030548095703,252.935302734375,11.952964782714844,630.9008178710938,630.8131713867188,282.84271240234375,165.36151123046875,3.4573147296905518,47.829463958740234,164.5472412109375,1.7775496244430542,92.5697021484375,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,27344.501953125,11.952978134155273,2287.672607421875,100,200,20000,cuda:0
1,1,3,160,269.12554931640625,27.00975799560547,35417655726412.31,7.626071641851566e-13,227.8113555908203,226.61776733398438,11.311861038208008,630.9008178710938,630.8131713867188,282.84271240234375,157.94509887695312,3.363307237625122,46.961246490478516,157.09564208984375,1.4373903274536133,109.29226684570312,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,24946.630859375,11.311845779418945,2205.3544921875,100,200,20000,cuda:0
1,2,3,208,273.7034606933594,21.12921905517578,55073056821605.52,3.836580040148897e-13,237.43408203125,236.3687286376953,10.576085090637207,630.9008178710938,630.8131713867188,282.84271240234375,167.91358947753906,3.252098798751831,51.63237762451172,167.16896057128906,1.6844757795333862,99.2409439086914,259.0159606933594,6.850716590881348,37.80859375,260.19476318359375,4.683964729309082,55.55010986328125,28194.97265625,10.576120376586914,2665.908935546875,100,200,20000,cuda:0
