system,noise_type,intensity,seed,eig_index_sorted,real,imag,abs
Inhibited Predator-Prey,gaussian,0.0,100,0,1.0004321336746216,0.0,1.0004321336746216
Inhibited Predator-Prey,gaussian,0.0,100,1,0.9872134923934937,0.06521306931972504,0.989365061023411
Inhibited Predator-Prey,gaussian,0.0,100,2,0.9872134923934937,-0.06521306931972504,0.989365061023411
Inhibited Predator-Prey,gaussian,0.0,100,3,0.9690819978713989,0.15176421403884888,0.9808936207669268
Inhibited Predator-Prey,gaussian,0.0,100,4,0.9690819978713989,-0.15176421403884888,0.9808936207669268
Inhibited Predator-Prey,gaussian,0.0,100,5,0.9643833041191101,0.02555343322455883,0.9647217916131334
Inhibited Predator-Prey,gaussian,0.0,100,6,0.9643833041191101,-0.02555343322455883,0.9647217916131334
Inhibited Predator-Prey,gaussian,0.0,100,7,0.9645291566848755,0.0,0.9645291566848755
Inhibited Predator-Prey,gaussian,0.0,100,8,0.9594151973724365,0.09074373543262482,0.963697020058409
Inhibited Predator-Prey,gaussian,0.0,100,9,0.9594151973724365,-0.09074373543262482,0.963697020058409
Inhibited Predator-Prey,gaussian,0.02,100,0,0.9960319399833679,0.0014218600699678063,0.9960329548529456
Inhibited Predator-Prey,gaussian,0.02,100,1,0.9960319399833679,-0.0014218600699678063,0.9960329548529456
Inhibited Predator-Prey,gaussian,0.02,100,2,0.9765502214431763,0.06321605294942856,0.9785941979958912
Inhibited Predator-Prey,gaussian,0.02,100,3,0.9765502214431763,-0.06321605294942856,0.9785941979958912
Inhibited Predator-Prey,gaussian,0.02,100,4,0.9626126885414124,0.013798786327242851,0.9627115843517368
Inhibited Predator-Prey,gaussian,0.02,100,5,0.9626126885414124,-0.013798786327242851,0.9627115843517368
Inhibited Predator-Prey,gaussian,0.02,100,6,0.95359206199646,0.1111493930220604,0.9600479197789206
Inhibited Predator-Prey,gaussian,0.02,100,7,0.95359206199646,-0.1111493930220604,0.9600479197789206
Inhibited Predator-Prey,gaussian,0.02,100,8,0.9373365044593811,0.17298677563667297,0.9531653304318742
Inhibited Predator-Prey,gaussian,0.02,100,9,0.9373365044593811,-0.17298677563667297,0.9531653304318742
Inhibited Predator-Prey,gaussian,0.05,100,0,0.9950838685035706,0.0,0.9950838685035706
Inhibited Predator-Prey,gaussian,0.05,100,1,0.9748916625976562,0.060074176639318466,0.9767408358931833
Inhibited Predator-Prey,gaussian,0.05,100,2,0.9748916625976562,-0.060074176639318466,0.9767408358931833
Inhibited Predator-Prey,gaussian,0.05,100,3,0.9760518670082092,0.0,0.9760518670082092
Inhibited Predator-Prey,gaussian,0.05,100,4,0.9627511501312256,0.0,0.9627511501312256
Inhibited Predator-Prey,gaussian,0.05,100,5,0.9503536224365234,0.0968480184674263,0.9552756389436973
