num_train	status	text_summary	json_summary	log_file
20	OK	Figures\numtraj_sweep_20260403_155609\numtrain_0020.txt	Figures\numtraj_sweep_20260403_155609\numtrain_0020.json	Figures\numtraj_sweep_20260403_155609\logs\numtrain_0020.log
50	OK	Figures\numtraj_sweep_20260403_155609\numtrain_0050.txt	Figures\numtraj_sweep_20260403_155609\numtrain_0050.json	Figures\numtraj_sweep_20260403_155609\logs\numtrain_0050.log
100	OK	Figures\numtraj_sweep_20260403_155609\numtrain_0100.txt	Figures\numtraj_sweep_20260403_155609\numtrain_0100.json	Figures\numtraj_sweep_20260403_155609\logs\numtrain_0100.log
150	OK	Figures\numtraj_sweep_20260403_155609\numtrain_0150.txt	Figures\numtraj_sweep_20260403_155609\numtrain_0150.json	Figures\numtraj_sweep_20260403_155609\logs\numtrain_0150.log
200	OK	Figures\numtraj_sweep_20260403_155609\numtrain_0200.txt	Figures\numtraj_sweep_20260403_155609\numtrain_0200.json	Figures\numtraj_sweep_20260403_155609\logs\numtrain_0200.log
